DomainCode,ComplianceDomain,CommonRegulatorBodyTypes,TypicalCoverage
CORP,Corporate registration & company law,Companies registry; commerce ministry; secretary of state,"Business registration, beneficial ownership, annual filings"
TAX,"Tax, revenue & customs",Tax authority; revenue service; customs administration,"Tax registrations, VAT/GST, customs/import/export"
LAB,"Labor, employment & workplace safety",Labor ministry; employment standards agency; OSH authority,"Employment, worker safety, social security"
PRIV,Data protection & privacy,Data protection authority; privacy commissioner,"Personal data, privacy notices, breach notification"
CYBER,Cybersecurity & digital resilience,Cybersecurity agency; communications regulator; sector regulator,"Security controls, incident reporting, critical infrastructure"
FIN,"Banking, securities, payments & AML",Central bank; securities commission; FIU; payments regulator,"Financial licensing, AML/KYC, market conduct"
INS,Insurance,Insurance supervisor; financial regulator,"Insurance licensing, solvency, conduct"
HEALTH,"Healthcare, medical products & public health",Health ministry; medical product regulator; public health agency,"Healthcare delivery, medical devices, drugs, patient safety"
FOOD,"Food, beverage & agriculture",Food safety agency; agriculture ministry,"Food safety, labeling, agrifood, animal/plant health"
ENV,"Environment, climate & natural resources",Environmental protection agency; natural resources ministry,"Environmental permits, emissions, water, waste, mining"
ENERGY,Energy & utilities,Energy ministry; utility regulator,"Electricity, gas, oil, pipelines, utility markets"
TELCO,"Telecommunications, media & broadcasting",Telecom/media regulator; communications ministry,"Licensing, spectrum, broadcasting, content rules"
TRAN,Transportation & logistics,Transport ministry; aviation/maritime/rail/road authorities,"Transport safety, carrier licensing, logistics compliance"
CONS,"Consumer protection, advertising & product safety",Consumer protection authority; product safety regulator,"Marketing, consumer rights, product recalls, warranties"
COMP,Competition / antitrust,Competition authority; antitrust agency,"Merger control, cartels, abuse of dominance"
TRADE,"Trade, sanctions & export controls",Trade ministry; customs; export-control authority; sanctions office,"Export/import restrictions, sanctions screening"
EDU,Education & social services,Education ministry; social services ministry; charity regulator,"Licensing, safeguarding, grants, nonprofit regulation"
REAL,"Real estate, construction & zoning",Land registry; housing ministry; building authority,"Licenses, zoning, property, construction codes"
PROF,Professional services licensing,Bar association; accountancy board; professional regulator,Professional licenses and ethics
PROC,Government procurement & grants,Procurement authority; treasury; anti-corruption body,"Bid eligibility, contract clauses, debarment"
