SourceID,ResourceName,TerritoryScope,ResourceType,ComplianceDomains,Publisher/Body,URL,Notes
SRC-MICROSOFT-ACCOUNT,Dynamics Account industrycode and TerritoryId reference,GLOBAL,CRM metadata,Industry Codes,Microsoft Learn account table reference,https://learn.microsoft.com/en-us/dynamics365/developer/reference/entities/account,Official Microsoft reference for Account attributes including industry and territory fields.
SRC-UN-M49,UN M49 geographic regions and country codes,GLOBAL,Territory taxonomy,All,United Nations Statistics Division,https://unstats.un.org/unsd/methodology/m49/,"Use as canonical geography hierarchy for countries, regions and subregions."
SRC-WB-GIRG,Global Indicators of Regulatory Governance,GLOBAL,Regulatory governance,All,World Bank,https://rulemaking.worldbank.org/en/rulemaking,"Measures transparency, participation and accountability in rulemaking across 186 countries."
SRC-ILO-DATA,ILO legal and labour databases,GLOBAL,Law database / agency directory,LAB,International Labour Organization,https://www.ilo.org/data-and-statistics,"Gateway to NORMLEX, NATLEX, EPLex, LEGOSH and other labour/OSH legal databases."
SRC-FAOLEX,"FAOLEX food, agriculture and natural resource law database",GLOBAL,Law database,FOOD; ENV; AGRI; NATRES,FAO,https://www.fao.org/faolex/en/,"National laws, regulations and policies on food, agriculture and natural resources management."
SRC-ECOLEX,ECOLEX environmental law gateway,GLOBAL,Law database,ENV; NATRES; ENERGY,FAO / IUCN / UNEP,https://www.ecolex.org/,"Treaties, national legislation, judicial decisions and law/policy literature on environment."
SRC-GPA,Global Privacy Assembly accredited members,GLOBAL,Agency directory,PRIV,Global Privacy Assembly,https://globalprivacyassembly.com/participation-in-the-assembly/list-of-accredited-members/,Directory of accredited data protection and privacy authorities.
SRC-IAPP-PRIVACY-DIR,Global privacy law and DPA directory,GLOBAL,Secondary directory,PRIV,IAPP,https://iapp.org/resources/global-privacy-directory,Useful directory for global data protection authorities and privacy legislation; verify against official sources.
SRC-IOSCO,IOSCO ordinary members,GLOBAL,Agency directory,FIN,International Organization of Securities Commissions,https://www.iosco.org/v2/about/?subsection=membership,Jurisdiction-by-jurisdiction list of securities regulators and related authorities.
SRC-IAIS,IAIS insurance supervisors and regulators,GLOBAL,Agency directory,INS,International Association of Insurance Supervisors,https://www.iais.org/about-the-iais/iais-members/,Insurance supervisors and regulators across more than 200 jurisdictions.
SRC-BIS-CENTRALBANKS,Central bank and monetary authority websites,GLOBAL,Agency directory,FIN,Bank for International Settlements,https://www.bis.org/cbanks.htm,Official hub of central bank and monetary authority websites.
SRC-ICN,International Competition Network members,GLOBAL,Agency directory,COMP,International Competition Network,https://www.internationalcompetitionnetwork.org/members/,Directory of competition and antitrust authorities.
SRC-WTO-DATA,WTO Data Portal,GLOBAL,Trade data / legal context,TRADE,World Trade Organization,https://data.wto.org/,Trade data portal; use with WTO agreements and country notifications for trade compliance context.
SRC-UNCTAD-DATA,UNCTAD Data Hub,GLOBAL,Trade/development data,TRADE; CORP,UNCTAD,https://unctadstat.unctad.org/,"UNCTAD databases, country profiles and trade/development datasets."
SRC-WCO,World Customs Organization,GLOBAL,Customs body / standards,TAX; TRADE,World Customs Organization,https://www.wcoomd.org/en.aspx,Global customs organization; use with national customs administrations for import/export compliance.
SRC-WHO-WLA,WHO-Listed Authorities framework,GLOBAL,Agency recognition / health regulation,HEALTH,World Health Organization,https://www.who.int/initiatives/who-listed-authority-reg-authorities,WHO framework for evaluating and designating regulatory authorities for medical products.
SRC-ITU-DIR,ITU Global Directory,GLOBAL,Agency/member directory,TELCO; CYBER,International Telecommunication Union,https://www.itu.int/GlobalDirectory/,"Lists ITU Member States, sector members and addresses; useful for telecom regulator research."
SRC-ITU,International Telecommunication Union,GLOBAL,Sector body / standards,TELCO; CYBER,International Telecommunication Union,https://www.itu.int/,UN specialized agency for digital technologies and telecommunications.
SRC-ICAO,ICAO Member States,GLOBAL,Aviation body / standards,TRAN,International Civil Aviation Organization,https://www.icao.int/about-icao/member-states,Official list of ICAO contracting states; pair with national civil aviation authorities.
SRC-FAA-INTL-CIVIL-AUTH,International aviation authorities directory,GLOBAL,Agency directory,TRAN,U.S. Federal Aviation Administration,https://www.faa.gov/aircraft/air_cert/international/bilateral_agreements/link_intl_sites/civil_avi_auth,Directory of selected international civil aviation authorities.
SRC-IMO,IMO Member States and maritime body,GLOBAL,Maritime body / standards,TRAN; ENV,International Maritime Organization,https://www.imo.org/en/ourwork/ero/pages/memberstates.aspx,IMO member states; pair with national maritime administrations.
SRC-EURLEX,EUR-Lex EU law database,EMEA-EU,Law database,All,European Union,https://eur-lex.europa.eu/,"Official access to EU law including regulations, directives and decisions."
SRC-EDPB,European Data Protection Board,EMEA-EU,Regional regulator/body,PRIV,European Data Protection Board,https://www.edpb.europa.eu/,EU data protection board resources and guidance under GDPR.
SRC-EC,European Commission,EMEA-EU,Regional executive/regulatory body,All,European Commission,https://commission.europa.eu/,EU executive body and policy/regulatory portal; use relevant DGs by domain.
